ch1.canDo.0.ja	イベントなどに関する記事を読んで、その特色や様子が理解できる。
ch7.review.1.ex.items.1.pieces.1	次の
ch7.review.1.ex.items.1.pieces.2	会社を
ch7.review.1.ex.items.1.pieces.3	受ける
ch7.review.1.ex.items.1.star	2
ch7.review.1.ex.items.2.after	でしかない。
ch7.review.1.ex.items.2.before	日本は食料{自給率|じきゅうりつ}が低く、代表的な日本食の一つである
ch7.review.1.ex.items.2.order.0	3
ch7.review.1.ex.items.2.order.1	2
ch7.review.1.ex.items.2.order.2	1
ch7.review.1.ex.items.2.order.3	0
ch7.review.1.ex.items.2.pieces.0	程度
ch7.review.1.ex.items.2.pieces.1	20%
ch7.review.1.ex.items.2.pieces.2	にしたところで
ch7.review.1.ex.items.2.pieces.3	そば
ch7.review.1.ex.items.2.star	2
ch7.review.1.ex.prompt.ja	次の文の＿★＿に入る最もよいものを、1・2・3・4から一つ選びなさい。
ch7.review.1.ex.type	order
ch7.review.1.title.ja	問題2 〈文の組み立て〉
ch7.review.2.ex.items.0.answer	1
ch7.review.2.ex.items.0.options.0	子どもではないのに、ずっとレゴ遊びを続けているのは評価できる。
ch7.review.2.ex.items.0.options.1	レゴ遊びは大人がするものではないからやめてほしい。
ch7.review.2.ex.items.0.options.2	子どもでも大人でも夢中でレゴ遊びをするのは気がかりだ。
ch7.review.2.ex.items.0.options.3	子どもではないから、夜遅くまで自由にレゴ遊びをしてもかまわない。
ch7.review.2.ex.items.0.q	母親はどんな気持ちで__①「子どもじゃあるまいし、またレゴ遊び。」__と言っているか。
ch7.review.2.ex.items.1.answer	0
ch7.review.2.ex.items.1.options.0	レゴの世界の{魅力|みりょく}
ch7.review.2.ex.items.1.options.1	レゴの作り方
ch7.review.2.ex.items.1.options.2	今何を作っているか
ch7.review.2.ex.items.1.options.3	姉が心配していること
ch7.review.2.ex.items.1.q	__②「母さんにはわからないよ。」__とあるが、母親に何がわからないと思っているか。
ch7.review.2.ex.items.2.answer	3
ch7.review.2.ex.items.2.options.0	親子関係が{悪化|あっか}すること
ch7.review.2.ex.items.2.options.1	レゴばかりして働かないこと
ch7.review.2.ex.items.2.options.2	ストレスで自分が病気になること
ch7.review.2.ex.items.2.options.3	弟の健康や将来のこと
ch7.review.2.ex.items.2.q	相談者は、どんなことを一番心配しているか。
ch7.review.2.ex.prompt.ja	次の話は、新聞の「お悩み相談」に寄せられた読者の悩みです。後の問いに対する答えとして最もよいものを、1・2・3・4から一つ選びなさい。
ch7.review.2.ex.text.0	相談者（会社員、女性、43歳）：
ch7.review.2.ex.text.1	弟のことで心配しています。私の弟ときたら今年40歳になるというのに、「{趣味|しゅみ}はレゴ（LEGO）」と{公言|こうげん}しています。
ch7.review.2.ex.text.2	母は__①「子どもじゃあるまいし、またレゴ遊び。」__とあきれ、顔を見れば{小言|こごと}が{絶|た}えません。{当|とう}の本人は、__②「母さんにはわからないよ。」__と言わんばかりの顔で、複雑な{立体|りったい}の{創作|そうさく}に{没頭|ぼっとう}し、食事の時間だろうが、深夜だろうが、作り続けています。
ch7.review.2.ex.text.3	仕事は{真面目|まじめ}にやっているようですが、姉の私としては、弟の体も心配ですし、結婚もできないのではないかと気がかりです。どうしたらよいでしょうか。
ch7.review.2.ex.text.4	回答者（映画{監督|かんとく}、男性、65歳）：
ch7.review.2.ex.text.5	レゴはすでに、弟さんの人生の一部であり、{創造|そうぞう}の{源|みなもと}であり、明日への{活力|かつりょく}となっているのでしょう。弟さんは「レゴ・アーティスト」の道を進もうとしているのかもしれません。いずれにしても{一人前|いちにんまえ}の男性として弟さんを信じてあげるべきではありませんか。
ch7.review.2.ex.title	
ch7.review.2.ex.type	reading
ch7.review.2.title.ja	問題3 〈読解〉
ch7.review.3.ex.items.0.answer	0
ch7.review.3.ex.items.0.options.0	子どもじゃあるまいし、{大丈夫|だいじょうぶ}よ。
ch7.review.3.ex.items.0.options.1	1人じゃあるまいし、{大丈夫|だいじょうぶ}よ。
ch7.review.3.ex.items.0.options.2	大人じゃあるまいし、{大丈夫|だいじょうぶ}よ。
ch7.review.3.ex.items.0.script.0.ja	1人で道わかる？　送ろうか。
ch7.review.3.ex.items.0.script.0.sp	M
ch7.review.3.ex.items.1.answer	2
ch7.review.3.ex.items.1.options.0	え？　使い方を教えたいの？
ch7.review.3.ex.items.1.options.1	でも、教えたかったよねえ。
ch7.review.3.ex.items.1.options.2	教えたところで、忘れるんじゃないの？
ch7.review.3.ex.items.1.script.0.ja	わあ、新しい機械ね。使い方、教えてほしいなあ。
ch7.review.3.ex.items.1.script.0.sp	F
ch7.review.3.ex.items.2.answer	2
ch7.review.3.ex.items.2.options.0	え？　何時に来たの？
ch7.review.3.ex.items.2.options.1	へえ、よかったね。
ch7.review.3.ex.items.2.options.2	え？　どうしたの？
ch7.review.3.ex.items.2.script.0.ja	うちの会社ときたら、まったくもう〜。
ch7.review.3.ex.items.2.script.0.sp	M
ch7.review.3.ex.items.3.answer	0
ch7.review.3.ex.items.3.options.0	じゃあ、休んだら？
ch7.review.3.ex.items.3.options.1	うん、行こう。
ch7.review.3.ex.items.3.options.2	え？　行けた？
ch7.review.3.ex.items.3.script.0.ja	この雪じゃ会社へ行こうにも行けないよ。
ch7.review.3.ex.items.3.script.0.sp	M
ch7.review.3.ex.prompt.ja	この{問題|もんだい}では、{問題用紙|もんだいようし}に{何|なに}も{印刷|いんさつ}されていません。まず{文|ぶん}を{聞|き}いてください。それから、それに{対|たい}する{返事|へんじ}を{聞|き}いて、1から3の{中|なか}から、{最|もっと}もよいものを{一|ひと}つ{選|えら}んでください。
ch7.review.3.ex.type	listening
ch7.review.3.title.ja	問題4 〈{聴解|ちょうかい}〉
ch7.title.ja	さすが{本田|ほんだ}君
ch8.canDo.0.ja	ファンタジー小説を読んで、やや{古風|こふう}な表現を味わいながら、登場人物やその関係を理解することができる。
ch8.genre.ja	小説を読む
ch8.id	8
ch8.parts.0.check.0.bank.0	ともなく
ch8.parts.0.check.0.bank.1	べく
ch8.parts.0.check.0.bank.2	かたわら
ch8.parts.0.check.0.bank.3	をものともせず
ch8.parts.0.check.0.items.0.answer	をものともせず
ch8.parts.0.check.0.items.0.q	次々に{襲|おそ}ってくる{敵|てき}の{兵士|へいし}＿＿彼はお{姫様|ひめさま}を救い出した。
ch8.parts.0.check.0.items.1.answer	べく
ch8.parts.0.check.0.items.1.q	{弊社|へいしゃ}は、今後もお客様の安全を守る＿＿、{最大限|さいだいげん}の努力を行ってまいります。
ch8.parts.0.check.0.items.2.answer	かたわら
ch8.parts.0.check.0.items.2.q	{西山|にしやま}さんは{各国|かっこく}の食文化を調査する＿＿、食にまつわるエッセーも{執筆|しっぴつ}されています。
ch8.parts.0.check.0.items.3.answer	ともなく
ch8.parts.0.check.0.items.3.q	車内の広告を見る＿＿見ているうちに、うっかり乗り過ごしてしまった。
ch8.parts.0.check.0.prompt.ja	1
ch8.parts.0.check.0.type	fill
ch8.parts.0.check.1.items.0.answer	0
ch8.parts.0.check.1.items.0.options.0	追いつ追われつの
ch8.parts.0.check.1.items.0.options.1	追いながらに
ch8.parts.0.check.1.items.0.q	ラスト10分間、（　）{息詰|いきづ}まるカーチェイスは{見逃|みのが}せない！
ch8.parts.0.check.1.items.1.answer	0
ch8.parts.0.check.1.items.1.options.0	{飼|か}い始めてからというもの
ch8.parts.0.check.1.items.1.options.1	{飼|か}いつ{飼|か}われつの
ch8.parts.0.check.1.items.1.q	1人{暮|ぐ}らしの祖母は、犬を（　）、毎日が楽しくてしかたがないと言う。
ch8.parts.0.check.1.items.2.answer	1
ch8.parts.0.check.1.items.2.options.0	生まれるともなく
ch8.parts.0.check.1.items.2.options.1	生まれながらに
ch8.parts.0.check.1.items.2.q	基本的{人権|じんけん}とは、人間が人間として（　）持っている権利のことです。
ch8.parts.0.check.1.items.3.answer	0
ch8.parts.0.check.1.items.3.options.0	{果|は}たしたまでのことで
ch8.parts.0.check.1.items.3.options.1	{果|は}たしてからというもの
ch8.parts.0.check.1.items.3.q	警察官としての責任を（　）{表彰|ひょうしょう}されるようなことではありません。
ch8.parts.0.check.1.prompt.ja	2
ch8.parts.0.check.1.type	choice
ch8.parts.0.label	(1)
ch8.parts.0.points.0.examples.0.ja	昨日のマラソンは、最後まで抜きつ抜かれつの{接戦|せっせん}が{繰|く}り{広|ひろ}げられた。
ch8.parts.0.points.0.examples.1.ja	花火大会は押しつ押されつで、すごい人ごみだったが、楽しかった。
ch8.parts.0.points.0.examples.2.ja	{川面|かわも}に落ちた{紅葉|もみじ}が浮きつ沈みつ流れて行くのを2人で見ていた。
ch8.parts.0.points.0.examples.3.ja	ご近所{同士|どうし}は、持ちつ持たれつ助け合える関係を{築|きず}きたいものです。
ch8.parts.0.points.0.examples.4.ja	家電各社は追いつ追われつの技術競争を{繰|く}り{広|ひろ}げて発展してきた。
ch8.parts.0.points.0.formNotes.0.ja	＊[V₂]には[V₁]の{受身形|うけみけい}か反対の意味の{動詞|どうし}が使われる。
ch8.parts.0.points.0.formNotes.1.ja	＊「押しつ押されつ・抜きつ抜かれつ・浮きつ沈みつ・組んずほぐれつ・差しつ差されつ・持ちつ持たれつ」などが使われる。
ch8.parts.0.points.0.forms.0	[V₁-~~ます~~] + つ + [V₂-~~ます~~] + つ
ch8.parts.0.points.0.no	88
ch8.parts.0.points.0.pattern	V₁つV₂つ
ch8.parts.0.points.0.phrase	行き**つ**戻り**つ**
ch8.parts.0.points.0.stars	1
ch8.parts.0.points.0.usage.ja	「AつBつ」は、AとBを{繰|く}り{返|かえ}すことを表す。
ch8.parts.0.points.1.examples.0.ja	窓の外を見るともなく見ていたら、親猫がかわいい子猫を連れて歩いてきた。
ch8.parts.0.points.1.examples.1.ja	聞くともなくラジオを聞いていたら、{故郷|こきょう}の町の名前が出てきて{驚|おどろ}いた。
ch8.parts.0.points.1.examples.2.ja	将来について考えるともなく考えていたところに、知人から{転職|てんしょく}の{誘|さそ}いを受けた。
ch8.parts.0.points.1.formNotes.0.ja	＊「見る・聞く・考える」などの言葉と一緒に使われる。
ch8.parts.0.points.1.formNotes.1.ja	＊前後に同じ{動詞|どうし}や似た意味の{動詞|どうし}を使うことが多い。
ch8.parts.0.points.1.forms.0	[V-る] + ともなく
ch8.parts.0.points.1.no	89
ch8.parts.0.points.1.notes.0.examples.0.ja	夕方の商店{街|がい}を歩くと、どこからともなくおいしそうな{匂|にお}いが{漂|ただよ}ってくる。
ch8.parts.0.points.1.notes.0.examples.1.ja	すべての{演奏|えんそう}が終了した後も、観客の{拍手|はくしゅ}はいつ終わるともなく続いていた。
ch8.parts.0.points.1.notes.0.examples.2.ja	課長は{誰|だれ}に言うともなく、ぶつぶつ何かつぶやいている。
ch8.parts.0.points.1.notes.0.ja	「{疑問詞|ぎもんし}（＋{助詞|じょし}＋[V]）＋ともなく」は「はっきりわからないが」と言いたいときに使われる。
ch8.parts.0.points.1.notesFirst	false
ch8.parts.0.points.1.pattern	Vともなく
ch8.parts.0.points.1.phrase	見る**ともなく**
ch8.parts.0.points.1.practice.0.bank.0	する
ch8.parts.0.points.1.practice.0.bank.1	聞く
ch8.parts.0.points.1.practice.0.bank.2	見る
ch8.parts.0.points.1.practice.0.bank.3	待つ
ch8.parts.0.points.1.practice.0.items.0.answer.0	聞く／聞いて
ch8.parts.0.points.1.practice.0.items.0.answer.1	聞く・聞いて
ch8.parts.0.points.1.practice.0.items.0.q	電車の中で、{隣|となり}の人の会話を＿＿ともなく＿＿いたら、私の好きな歌手の話だった。
ch8.parts.0.points.1.practice.0.items.1.answer.0	見る／見て
ch8.parts.0.points.1.practice.0.items.1.answer.1	見る・見て
ch8.parts.0.points.1.practice.0.items.1.q	空を＿＿ともなく＿＿いると、遠くから金色に光る{物体|ぶったい}がゆっくりと近づいてきた。
ch8.parts.0.points.1.practice.0.items.2.answer.0	する／して
ch8.parts.0.points.1.practice.0.items.2.answer.1	する・して
ch8.parts.0.points.1.practice.0.items.2.q	授業中、ノートの{端|はし}に{落書|らくが}きを＿＿ともなく＿＿いたら、先生に{叱|しか}られた。
ch8.parts.0.points.1.practice.0.items.3.answer.0	待つ／待って
ch8.parts.0.points.1.practice.0.items.3.answer.1	待つ・待って
ch8.parts.0.points.1.practice.0.items.3.q	夜中に目が覚めてしまい、音楽を聞きながら{夜|よ}が{明|あ}けるのを＿＿ともなく＿＿いた。
